股票代码,公司名称,营业总收入,营收同比增长率,净利润,净利润同比增长率,总资产,资产负债率,毛利率,净利率,员工人数,报告期
300412,迦南科技,,-47.31%,,-86.82%,,57.42%,24.68%,-8.44%,,一季报
300423,昇辉科技,,-35.92%,,-83.70%,,52.12%,9.95%,-24.31%,,一季报
300424,航新科技,,44.42%,,216.25%,,69.18%,26.63%,5.50%,,一季报
300440,运达科技,,-45.82%,,-32.29%,,25.99%,46.64%,-34.82%,,一季报
300433,蓝思科技,,-17.13%,,-134.88%,,33.90%,14.55%,-1.02%,,一季报
300442,润泽科技,,53.55%,,35.35%,,64.97%,46.80%,31.84%,,一季报
300448,浩云科技,,-27.83%,,122.49%,,4.84%,34.04%,-1.87%,,一季报
300450,先导智能,,19.11%,,10.99%,,61.64%,33.61%,10.55%,,一季报
300456,赛微电子,,-62.67%,,-1958.32%,,21.32%,16.51%,-62.94%,,一季报
300457,赢合科技,,53.14%,,308.19%,,65.35%,18.13%,3.64%,,一季报
300458,全志科技,,47.12%,,121.77%,,18.73%,40.21%,22.26%,,一季报
300469,信息发展,,-35.56%,,-58.25%,,70.62%,-7.81%,-146.55%,,一季报
300466,赛摩智能,,15.16%,,146.93%,,36.00%,42.91%,4.31%,,一季报
300467,迅游科技,,-0.63%,,-6.50%,,19.46%,60.78%,11.56%,,一季报
300476,胜宏科技,,27.99%,,39.95%,,55.23%,34.46%,23.34%,,一季报
300480,光力科技,,35.20%,,76.65%,,17.46%,49.56%,14.77%,,一季报
300479,神思电子,,-31.08%,,-20.38%,,63.75%,25.68%,-64.42%,,一季报
300486,东杰智能,,23.38%,,114.76%,,44.60%,12.31%,2.77%,,一季报
300487,蓝晓科技,,5.24%,,-5.81%,,31.57%,55.48%,29.99%,,一季报
300489,光智科技,,20.49%,,60.81%,,78.08%,30.14%,4.24%,,一季报
300490,华自科技,,186.31%,,215.81%,,68.68%,25.45%,8.14%,,一季报
300491,通合科技,,40.19%,,95.26%,,52.33%,20.28%,-0.11%,,一季报
300493,润欣科技,,1.38%,,32.69%,,37.29%,10.00%,2.80%,,一季报
300515,三德科技,,18.17%,,18.03%,,33.40%,58.68%,26.24%,,一季报
300513,恒实科技,,46.18%,,15.55%,,77.60%,18.01%,-15.52%,,一季报
300494,盛天网络,,-11.21%,,-82.49%,,9.33%,13.57%,1.59%,,一季报
300522,世名科技,,-4.41%,,-60.73%,,24.37%,25.26%,1.41%,,一季报
300525,博思软件,,0.95%,,1.72%,,30.08%,60.04%,-28.80%,,一季报
300523,辰安科技,,11.19%,,12.33%,,68.85%,36.06%,-11.16%,,一季报
300530,领湃科技,,14.01%,,-19.72%,,90.77%,12.31%,-62.77%,,一季报
300539,横河精密,,-1.50%,,-10.58%,,25.21%,19.15%,5.05%,,一季报
300533,冰川网络,,-5.01%,,-105.17%,,44.92%,93.22%,-2.13%,,一季报
300542,新晨科技,,26.58%,,-177.25%,,58.83%,16.06%,-10.68%,,一季报
300543,朗科智能,,-4.48%,,-182.87%,,30.17%,15.44%,-2.21%,,一季报
300546,雄帝科技,,9.44%,,-109.48%,,20.52%,45.41%,-34.78%,,一季报
300547,川环科技,,-12.56%,,-14.96%,,21.12%,23.54%,14.30%,,一季报
300549,优德精密,,-9.94%,,-78.77%,,20.66%,27.89%,0.92%,,一季报
300550,和仁科技,,-3.04%,,-138.95%,,17.80%,34.29%,-9.76%,,一季报
