股票代码,公司名称,总市值(亿),流通市值(亿),市盈率,市净率,涨跌幅(%),当前价,近期新闻,新闻数量
300220,金运激光,1.87,-381.41,17.38,29.62,2.31,11.51,,0
300221,银禧科技,2.96,42.43,64.68,4.37,1.82,14.0,,0
300209,行云科技,8.46,-443.31,259.05,34.46,4.0,34.87,,0
300232,洲明科技,2.47,-238.74,50.11,1.33,3.11,5.64,,0
300222,科大智能,2.25,82.08,66.91,4.38,1.08,10.26,,0
300231,银信科技,2.52,129.01,37.45,2.36,0.48,8.42,,0
300242,佳云科技,2.51,-131.56,26.14,11.12,1.73,4.12,,0
300241,瑞丰光电,2.98,47.63,35.43,1.8,1.72,5.9,,0
300235,方直科技,3.15,131.37,22.84,3.97,2.39,11.15,,0
300258,精锻科技,0.97,137.46,54.2,1.19,0.42,9.51,,0
300256,星星科技,2.33,-123.46,65.73,7.39,1.38,2.93,,0
300250,初灵信息,4.91,85.79,24.82,6.05,3.55,15.75,,0
300259,新天科技,1.99,26.58,51.27,1.71,0.68,4.44,,0
300263,隆华科技,4.2,55.32,104.28,2.63,0.66,10.69,,0
300264,佳创视讯,3.81,-72.14,24.0,2158.09,-0.46,6.48,,0
300269,联建光电,2.84,-178.23,26.7,36.71,2.01,5.08,,0
300270,中威电子,3.26,-350.82,35.16,6.3,2.02,11.61,,0
300271,华宇软件,4.06,-28.59,47.93,1.37,4.75,5.96,,0
300274,阳光电源,6.95,17.27,1452.59,3.78,-6.34,91.5,,0
300276,三丰智能,1.4,-46.82,68.15,5.06,0.47,6.43,,0
300277,汽轮科技,3.98,184.75,95.15,1.94,4.19,12.43,,0
300288,朗玛信息,1.46,-340.19,26.17,3.19,1.4,10.15,,0
300279,和晶科技,2.3,76.9,28.36,2.71,1.22,5.82,,0
300302,同有科技,7.41,64.9,112.52,11.29,-0.88,30.28,,0
300306,远方信息,1.61,40.65,16.74,1.97,0.66,10.62,,0
300303,聚飞光电,2.88,37.84,94.47,2.72,-1.11,7.11,,0
